,product_name,prices,processor brand,processor name,ram,graphic card,operating system
394,"MSI Stealth 15M Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/144 Hz) Stealth 15M A11UEK-227IN Gaming Laptop  (15.6 inch, Carbon Gray, 1.7 KG)","₹1,19,990",Intel,Core i7,16 GB,NVIDIA GeForce RTX 3060,Windows 10 Home
395,"DELL Vostro Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Vostro 3400 Thin and Light Laptop  (14 inch, Dune, 1.59 kg, With MS Office)","₹59,190",Intel,Core i5,8 GB,Intel Integrated Iris Xe,Windows 11 Home
396,"ASUS TUF Dash F15 Core i5 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050Ti/144 Hz) FX516PE-HN086TS Gaming Laptop  (15.6 inch, Moon Light White, 2. Kg, With MS Office)","₹87,940",Intel,Core i5,16 GB,NVIDIA GeForce RTX 3050Ti,Windows 10 Home
397,"MSI GE76 Core i7 11th Gen - (32 GB/2 TB SSD/Windows 10 Home/16 GB Graphics/NVIDIA GeForce RTX 3080/360 Hz) GE76 Raider 11UH-471IN Gaming Laptop  (17.3 inch, Titanium Blue, 2.9 Kg)","₹2,91,140",Intel,Core i7,32 GB,NVIDIA GeForce RTX 3080,Windows 10 Home
398,"HP 15s Core i3 11th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-dy3001TU Thin and Light Laptop  (15.6 inch, Jet Black, 1.77 Kg, With MS Office)","₹43,690",Intel,Core i3,8 GB,Intel Integrated UHD,Windows 10 Home
399,"ASUS Zephyrus M16 (2021) Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX RTX 3050) GU603HE-KR051TS Gaming Laptop  (16 inch, Off Black, 1.90 Kg kg, With MS Office)","₹1,39,940",Intel,Core i7,16 GB,NVIDIA GeForce RTX RTX 3050,Windows 10 Home
400,"Lenovo IdeaPad Gaming 3i Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti/60 Hz) 15IMH05 Gaming Laptop  (15.6 inch, Onyx Black, 2.2 kg)","₹74,540",Intel,Core i5,8 GB,NVIDIA GeForce GTX 1650 Ti,Windows 10 Home
401,"ASUS Vivobook X515EA Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) X515EA Laptop  (15.6 inch, Transparent Silver, 1.8 kg, With MS Office)","₹38,490",Intel,Core i3,8 GB,Intel Integrated Intel HD Graphics,Windows 10 Home
402,"DELL Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 3511 Laptop  (15.6 inch, Silver, With MS Office)","₹43,990",Intel,Core i3,8 GB,Intel Integrated,Windows 11 Home
403,"ASUS Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) X712EA-AU521TS Thin and Light Laptop  (17.3 Inch, Transparent Silver, 2.30 KG, With MS Office)","₹59,990",Intel,Core i5,16 GB,Intel Integrated Intel Iris Xe Graphics,Windows 10 Home
